Complaint_ID,Product_ID,Customer_ID,Complaint_Date,Complaint_Type,Resolution_Time_Days,Complaint_Status,Satisfaction_Score,Customer_Loyalty_Score,Customer_Service_Interaction,Brand_Perceived_Image,Customer_Feedback,Additional_Comments
29,5757,4950,2024-12-05 06:32:30.412051392,Late Delivery,10.0,Pending,3.456641705562513,6.674168244536846,Neutral,Poor,Customer service wasn't helpful. Not coming back.,Package came way late. Not ordering from here again.
30,4958,2710,2024-12-05 06:32:30.412051392,Packaging Issue,24.0,Resolved,8.74530801032736,2.1682408620341684,Neutral,Excellent,,Package came way late. Not ordering from here again.
31,5198,7479,2024-12-05 06:32:30.412051392,Quality Issue,28.0,Unresolved,6.47634961253027,8.559304604082655,Neutral,Poor,,"I dunno, but the product just wasn't what I thought. Disappointed."
32,2408,3980,2024-12-05 06:32:30.412051392,Late Delivery,24.0,Unresolved,1.1007216382033533,8.749196595634446,Positive,Good,"Arrived in a damaged box, not happy. Seriously?","I dunno, but the product just wasn't what I thought. Disappointed."
33,816,3828,2024-12-05 06:32:30.412051392,Packaging Issue,17.0,Resolved,7.3681639487013255,3.4181739309049672,Positive,Average,"Honestly, the product wasn't great. Wouldn't recommend it.","Honestly, the product wasn't great. Wouldn't recommend it."
34,2681,2654,2024-12-05 06:32:30.412051392,Damaged Product,20.0,Resolved,2.600975206188364,2.1942063795017894,Neutral,Good,Customer service wasn't helpful. Not coming back.,"Honestly, the product wasn't great. Wouldn't recommend it."
35,833,7171,2024-12-05 06:32:30.412051392,Packaging Issue,28.0,Pending,4.4202276912206155,,Neutral,Poor,Customer service wasn't helpful. Not coming back.,Customer service wasn't helpful. Not coming back.
36,7878,5393,2024-12-05 06:32:30.412051392,Quality Issue,11.0,Resolved,8.747008990308803,3.602861686258867,Neutral,Excellent,Packaging was fine but the actual product had issues.,Got the wrong item... so frustrating! What a waste of time.
37,6759,8245,2024-12-05 06:32:30.412051392,Packaging Issue,25.0,Pending,2.827219565456678,9.571854867513101,Neutral,Good,"Arrived in a damaged box, not happy. Seriously?",
38,9962,5338,2024-12-05 06:32:30.412051392,Packaging Issue,15.0,Pending,5.19321849289579,1.18988356547887,Negative,Excellent,"Arrived in a damaged box, not happy. Seriously?",Package came way late. Not ordering from here again.
39,6777,2054,2024-12-05 06:32:30.412051392,Quality Issue,19.0,Unresolved,2.124476193821696,8.407620934207113,Neutral,Poor,Package came way late. Not ordering from here again.,Package came way late. Not ordering from here again.
40,8550,7736,2024-12-05 06:32:30.412051392,Quality Issue,24.0,Pending,1.2393490015274706,9.347991153531083,Positive,Excellent,"Honestly, the product wasn't great. Wouldn't recommend it.",Customer service wasn't helpful. Not coming back.
41,3730,7643,2024-12-05 06:32:30.412051392,Damaged Product,23.0,Pending,9.856404353761535,8.186286656961256,Neutral,Average,,Package came way late. Not ordering from here again.
42,6244,5245,2024-12-05 06:32:30.412051392,Quality Issue,25.0,Resolved,2.2566176304240875,5.97876237516112,Positive,Good,,"I dunno, but the product just wasn't what I thought. Disappointed."
43,10587,4127,2024-12-05 06:32:30.412051392,Damaged Product,,Pending,7.526880737425218,5.262504685150017,Positive,Average,Got the wrong item... so frustrating! What a waste of time.,The color was different from the online pictures. Product's okay but that's a letdown.
44,9341,273,2024-12-05 06:32:30.412051392,Late Delivery,9.0,Pending,1.1687450992664474,3.3772793911628947,Negative,Poor,"Arrived in a damaged box, not happy. Seriously?","Resolution was fine, but the shipping took forever!"
45,7353,7750,2024-12-05 06:32:30.412051392,Quality Issue,22.0,Pending,8.027063554247283,9.637912343150791,Negative,Good,Got the wrong item... so frustrating! What a waste of time.,"I dunno, but the product just wasn't what I thought. Disappointed."
46,1941,1126,2024-12-05 06:32:30.412051392,Packaging Issue,21.0,Resolved,5.94410787113507,5.603930808514355,Positive,Poor,Got the wrong item... so frustrating! What a waste of time.,"Took way too long to get fixed, but the service was okay I guess."
47,10781,4218,2024-12-05 06:32:30.412051392,Incorrect Product,27.0,Pending,6.226373364323782,4.324315055397607,Neutral,Average,"Took way too long to get fixed, but the service was okay I guess.",
48,8337,157,2024-12-05 06:32:30.412051392,Damaged Product,27.0,Pending,7.901583299124808,1.110988723747432,Neutral,Poor,"Honestly, the product wasn't great. Wouldn't recommend it.",Package came way late. Not ordering from here again.
49,3350,10752,2024-12-05 06:32:30.412051392,Packaging Issue,,Resolved,4.844427639657216,2.296972387912792,Negative,Excellent,"Resolution was fine, but the shipping took forever!",Got the wrong item... so frustrating! What a waste of time.
50,6447,1820,2024-12-05 06:32:30.412051392,Damaged Product,20.0,Pending,6.856383303424452,5.291137678384213,Negative,Average,Package came way late. Not ordering from here again.,Customer service wasn't helpful. Not coming back.
51,7623,1979,2024-12-05 06:32:30.412051392,Late Delivery,10.0,Resolved,2.592160360189691,4.613644476675348,Neutral,Average,"Resolution was fine, but the shipping took forever!","Resolution was fine, but the shipping took forever!"
52,9710,5699,2024-12-05 06:32:30.412051392,Incorrect Product,10.0,Resolved,1.8210770636319857,4.777487607765515,Positive,Average,"Resolution was fine, but the shipping took forever!","Honestly, the product wasn't great. Wouldn't recommend it."
53,6833,552,2024-12-05 06:32:30.412051392,Late Delivery,13.0,Unresolved,9.684236203491642,5.689042693629761,Positive,Poor,"Resolution was fine, but the shipping took forever!","Took way too long to get fixed, but the service was okay I guess."
54,3923,5246,2024-12-05 06:32:30.412051392,Packaging Issue,14.0,Pending,9.929000253093953,3.905647974154853,Positive,Poor,"Arrived in a damaged box, not happy. Seriously?","Arrived in a damaged box, not happy. Seriously?"
55,2605,5956,2024-12-05 06:32:30.412051392,Packaging Issue,24.0,Pending,1.606280212116844,9.875494329495204,Negative,Average,Package came way late. Not ordering from here again.,Customer service wasn't helpful. Not coming back.
56,3500,252,2024-12-05 06:32:30.412051392,Damaged Product,22.0,Pending,7.56660696324492,2.2376362833324386,Negative,Good,Package came way late. Not ordering from here again.,Package came way late. Not ordering from here again.
57,8614,10715,2024-12-05 06:32:30.412051392,Quality Issue,13.0,Unresolved,7.705733990142967,9.012613414762466,Positive,Average,Package came way late. Not ordering from here again.,"Resolution was fine, but the shipping took forever!"
58,3511,3233,2024-12-05 06:32:30.412051392,Damaged Product,27.0,Pending,4.997522164354564,6.532063832468403,Negative,Poor,"Resolution was fine, but the shipping took forever!","Resolution was fine, but the shipping took forever!"
59,386,5763,2024-12-05 06:32:30.412051392,Quality Issue,5.0,Resolved,6.193032318624791,6.884289511566473,Positive,Good,"Honestly, the product wasn't great. Wouldn't recommend it.","Took way too long to get fixed, but the service was okay I guess."
60,2375,7374,2024-12-05 06:32:30.412051392,Quality Issue,17.0,Pending,8.70039419470201,3.709679707800567,Neutral,Good,Package came way late. Not ordering from here again.,Package came way late. Not ordering from here again.
61,8286,6182,2024-12-05 06:32:30.412051392,Damaged Product,28.0,Unresolved,2.510614334050005,7.824896744493175,Positive,Average,"Resolution was fine, but the shipping took forever!",Got the wrong item... so frustrating! What a waste of time.
62,8307,2270,2024-12-05 06:32:30.412051392,Damaged Product,10.0,Resolved,4.656698724542169,3.25312949930899,Positive,Excellent,Packaging was fine but the actual product had issues.,The color was different from the online pictures. Product's okay but that's a letdown.
63,5554,10921,2024-12-05 06:32:30.412051392,Late Delivery,,Unresolved,4.533927599282012,2.233335739820543,Neutral,Average,Got the wrong item... so frustrating! What a waste of time.,Package came way late. Not ordering from here again.
64,9230,5381,2024-12-05 06:32:30.412051392,Damaged Product,7.0,Resolved,4.246671954853927,3.417825873476037,Neutral,Poor,Customer service wasn't helpful. Not coming back.,"Arrived in a damaged box, not happy. Seriously?"
65,3774,9771,2024-12-05 06:32:30.412051392,Incorrect Product,29.0,Resolved,,3.910171753659526,Neutral,Poor,"Took way too long to get fixed, but the service was okay I guess.","Arrived in a damaged box, not happy. Seriously?"
66,3478,2306,2024-12-05 06:32:30.412051392,Late Delivery,29.0,Resolved,6.142632675961803,5.097507435210939,Positive,Average,"Took way too long to get fixed, but the service was okay I guess.","I dunno, but the product just wasn't what I thought. Disappointed."
67,6912,4120,2024-12-05 06:32:30.412051392,Incorrect Product,2.0,Pending,7.6871266051888645,6.326027869905861,Negative,Average,Customer service wasn't helpful. Not coming back.,The color was different from the online pictures. Product's okay but that's a letdown.
68,2920,9102,2024-12-05 06:32:30.412051392,Packaging Issue,28.0,Unresolved,4.884854408743896,8.602021766100654,Positive,Good,"Took way too long to get fixed, but the service was okay I guess.",Got the wrong item... so frustrating! What a waste of time.
69,8847,1918,2024-12-05 06:32:30.412051392,Quality Issue,9.0,Pending,9.846145023071475,5.131620985081018,Neutral,Excellent,"Resolution was fine, but the shipping took forever!","Arrived in a damaged box, not happy. Seriously?"
70,3005,4082,2024-12-05 06:32:30.412051392,Late Delivery,12.0,Pending,1.2585411540595381,,Neutral,Average,Packaging was fine but the actual product had issues.,Got the wrong item... so frustrating! What a waste of time.
71,2293,10099,2024-12-05 06:32:30.412051392,Quality Issue,4.0,Pending,7.80393025848176,9.020820167079547,Negative,Poor,Packaging was fine but the actual product had issues.,"Resolution was fine, but the shipping took forever!"
72,670,1924,2024-12-05 06:32:30.412051392,Incorrect Product,23.0,Resolved,6.186416501496971,2.9830217824772425,Positive,Average,Customer service wasn't helpful. Not coming back.,"Honestly, the product wasn't great. Wouldn't recommend it."
73,4507,4579,2024-12-05 06:32:30.412051392,Incorrect Product,18.0,Resolved,5.985693457613943,8.29880214477273,Negative,Good,Package came way late. Not ordering from here again.,"Took way too long to get fixed, but the service was okay I guess."
74,1351,2957,2024-12-05 06:32:30.412051392,Packaging Issue,22.0,Unresolved,1.3121402634483368,8.200320960332967,Negative,Average,"Honestly, the product wasn't great. Wouldn't recommend it.",Got the wrong item... so frustrating! What a waste of time.
75,3501,2051,2024-12-05 06:32:30.412051392,Incorrect Product,17.0,Resolved,7.775823301937412,1.0412684333577147,Neutral,Poor,Got the wrong item... so frustrating! What a waste of time.,"Resolution was fine, but the shipping took forever!"
76,7915,10852,2024-12-05 06:32:30.412051392,Late Delivery,7.0,Resolved,8.84609541723967,3.491333119734663,Positive,Average,Packaging was fine but the actual product had issues.,"I dunno, but the product just wasn't what I thought. Disappointed."
77,332,8414,2024-12-05 06:32:30.412051392,Damaged Product,29.0,Pending,3.8977362296114118,3.908324515515597,Neutral,Excellent,Got the wrong item... so frustrating! What a waste of time.,Package came way late. Not ordering from here again.
78,8904,9385,2024-12-05 06:32:30.412051392,Quality Issue,29.0,Resolved,3.8768214750685512,8.841444110556534,Neutral,Excellent,Got the wrong item... so frustrating! What a waste of time.,"Arrived in a damaged box, not happy. Seriously?"
79,5519,9717,2024-12-05 06:32:30.412051392,Packaging Issue,12.0,Pending,8.595034361237346,9.008551077598593,Negative,Good,"Honestly, the product wasn't great. Wouldn't recommend it.","Resolution was fine, but the shipping took forever!"
80,2890,984,2024-12-05 06:32:30.412051392,Damaged Product,20.0,Resolved,9.966289280491438,4.196819161790975,Neutral,Good,Packaging was fine but the actual product had issues.,"Arrived in a damaged box, not happy. Seriously?"
81,666,2734,2024-12-05 06:32:30.412051392,Incorrect Product,20.0,Resolved,2.1332875978898374,4.048607385992666,Neutral,Good,Got the wrong item... so frustrating! What a waste of time.,Got the wrong item... so frustrating! What a waste of time.
82,4837,353,2024-12-05 06:32:30.412051392,Damaged Product,5.0,Resolved,6.2635470290385165,6.791897815618129,Positive,Average,The color was different from the online pictures. Product's okay but that's a letdown.,Customer service wasn't helpful. Not coming back.
83,10861,180,2024-12-05 06:32:30.412051392,Late Delivery,17.0,Pending,4.087188449534906,2.5660985102326164,Positive,Poor,Got the wrong item... so frustrating! What a waste of time.,The color was different from the online pictures. Product's okay but that's a letdown.
84,8957,10748,2024-12-05 06:32:30.412051392,Damaged Product,17.0,Unresolved,8.946361108847913,1.108540130734184,Negative,Average,Packaging was fine but the actual product had issues.,Customer service wasn't helpful. Not coming back.
85,9407,64,2024-12-05 06:32:30.412051392,Packaging Issue,16.0,Pending,1.2136407909030886,1.2575410283636288,Positive,Average,The color was different from the online pictures. Product's okay but that's a letdown.,"I dunno, but the product just wasn't what I thought. Disappointed."
86,9930,7404,2024-12-05 06:32:30.412051392,Packaging Issue,21.0,Resolved,6.826620411445682,5.671284698047147,Positive,Excellent,"Honestly, the product wasn't great. Wouldn't recommend it.","Arrived in a damaged box, not happy. Seriously?"
87,1315,10190,2024-12-05 06:32:30.412051392,Packaging Issue,24.0,Unresolved,7.745436785255864,5.452920506986774,Positive,Good,Packaging was fine but the actual product had issues.,Customer service wasn't helpful. Not coming back.
88,7130,6750,2024-12-05 06:32:30.412051392,Damaged Product,24.0,Resolved,9.903392777994311,3.9331869739313845,Negative,Excellent,"Resolution was fine, but the shipping took forever!","Honestly, the product wasn't great. Wouldn't recommend it."
89,6614,30,2024-12-05 06:32:30.412051392,Incorrect Product,27.0,Unresolved,5.934652399179155,5.723734344554545,Positive,Excellent,"Resolution was fine, but the shipping took forever!","Honestly, the product wasn't great. Wouldn't recommend it."
90,9255,4459,2024-12-05 06:32:30.412051392,Late Delivery,26.0,Pending,7.939453295748467,9.302267105668394,Neutral,Average,Got the wrong item... so frustrating! What a waste of time.,"Arrived in a damaged box, not happy. Seriously?"
91,4664,4465,2024-12-05 06:32:30.412051392,Late Delivery,8.0,Pending,4.481792168862224,4.8636658599900375,Neutral,Good,"I dunno, but the product just wasn't what I thought. Disappointed.","Resolution was fine, but the shipping took forever!"
92,564,2156,2024-12-05 06:32:30.412051392,Damaged Product,29.0,Pending,8.435110442742774,1.0188766855095117,Neutral,Excellent,Customer service wasn't helpful. Not coming back.,Packaging was fine but the actual product had issues.
93,4145,10207,2024-12-05 06:32:30.412051392,Late Delivery,21.0,Resolved,1.7177310758824538,6.674228899374841,Neutral,Good,,Customer service wasn't helpful. Not coming back.
94,6713,7206,2024-12-05 06:32:30.412051392,Incorrect Product,8.0,Unresolved,2.9299698003069037,2.9294401276268625,Neutral,Good,"Took way too long to get fixed, but the service was okay I guess.",Packaging was fine but the actual product had issues.
95,6072,6518,2024-12-05 06:32:30.412051392,Incorrect Product,27.0,Unresolved,9.43113638014384,1.5508286320754199,Positive,Excellent,Packaging was fine but the actual product had issues.,Package came way late. Not ordering from here again.
96,10309,9335,2024-12-05 06:32:30.412051392,Packaging Issue,8.0,Resolved,5.539646752187148,1.5427547510382404,Positive,Average,"Took way too long to get fixed, but the service was okay I guess.","Took way too long to get fixed, but the service was okay I guess."
97,10638,8908,2024-12-05 06:32:30.412051392,Quality Issue,23.0,Pending,2.782895055178956,1.7499733053255615,Negative,Good,Packaging was fine but the actual product had issues.,"I dunno, but the product just wasn't what I thought. Disappointed."
98,8309,8327,2024-12-05 06:32:30.412051392,Incorrect Product,13.0,Unresolved,5.003059852039117,1.9276773336772257,Positive,Excellent,"I dunno, but the product just wasn't what I thought. Disappointed.",Package came way late. Not ordering from here again.
99,7928,8930,2024-12-05 06:32:30.412051392,Late Delivery,2.0,Unresolved,19.769700539254448,6.305001950547265,Negative,Average,"Honestly, the product wasn't great. Wouldn't recommend it.","Arrived in a damaged box, not happy. Seriously?"
100,9725,7477,2024-12-05 06:32:30.412051392,Late Delivery,11.0,Resolved,2.7470021752632308,1.9160831830479494,Neutral,Excellent,"Resolution was fine, but the shipping took forever!",Customer service wasn't helpful. Not coming back.
101,7306,6805,2024-12-05 06:32:30.412051392,Damaged Product,20.0,Pending,9.536177446603835,7.303584461050012,Neutral,Excellent,"Honestly, the product wasn't great. Wouldn't recommend it.","Arrived in a damaged box, not happy. Seriously?"
102,7163,10062,2024-12-05 06:32:30.412051392,Incorrect Product,10.0,Pending,6.887407414077374,7.959434368124874,Positive,Average,"Took way too long to get fixed, but the service was okay I guess.","Resolution was fine, but the shipping took forever!"
103,1230,706,2024-12-05 06:32:30.412051392,Damaged Product,24.0,Pending,4.357995267058673,1.637135538014912,Positive,Excellent,"Took way too long to get fixed, but the service was okay I guess.","Resolution was fine, but the shipping took forever!"
104,10311,68,2024-12-05 06:32:30.412051392,Packaging Issue,24.0,Unresolved,1.5666521374054398,6.58267550133291,Neutral,Average,"Honestly, the product wasn't great. Wouldn't recommend it.","Arrived in a damaged box, not happy. Seriously?"
105,496,8752,2024-12-05 06:32:30.412051392,Damaged Product,13.0,Pending,2.0515589365988784,7.605767335398137,Positive,Average,Package came way late. Not ordering from here again.,Got the wrong item... so frustrating! What a waste of time.
106,3063,3768,2024-12-05 06:32:30.412051392,Incorrect Product,1.0,Unresolved,5.983815812471186,7.1313403950577925,Negative,Poor,Packaging was fine but the actual product had issues.,Package came way late. Not ordering from here again.
107,8850,5917,2024-12-05 06:32:30.412051392,Incorrect Product,16.0,Unresolved,9.39065278443605,5.193815649240436,Positive,Poor,"Honestly, the product wasn't great. Wouldn't recommend it.",Package came way late. Not ordering from here again.
108,10879,2408,2024-12-05 06:32:30.412051392,Incorrect Product,26.0,Resolved,7.850997814149916,8.211855095406385,Negative,Poor,Packaging was fine but the actual product had issues.,Package came way late. Not ordering from here again.
109,3957,6413,2024-12-05 06:32:30.412051392,Damaged Product,12.0,Pending,9.96240630180231,3.130686228971779,Neutral,Poor,"Resolution was fine, but the shipping took forever!",Customer service wasn't helpful. Not coming back.
110,7845,10938,2024-12-05 06:32:30.412051392,Packaging Issue,,Pending,1.4887749276464415,9.668798328301383,Negative,Average,Packaging was fine but the actual product had issues.,The color was different from the online pictures. Product's okay but that's a letdown.
111,10355,6531,2024-12-05 06:32:30.412051392,Incorrect Product,25.0,Pending,2.188339311391511,2.700148155196535,Negative,Excellent,Got the wrong item... so frustrating! What a waste of time.,Package came way late. Not ordering from here again.
112,2609,8055,2024-12-05 06:32:30.412051392,Damaged Product,2.0,Resolved,8.912613829120104,2.4080687903768805,Positive,Good,"Took way too long to get fixed, but the service was okay I guess.","I dunno, but the product just wasn't what I thought. Disappointed."
113,5538,1583,2024-12-05 06:32:30.412051392,Quality Issue,12.0,Resolved,7.391722631674877,5.40225864154409,Neutral,Excellent,"Honestly, the product wasn't great. Wouldn't recommend it.",The color was different from the online pictures. Product's okay but that's a letdown.
114,3730,6016,2024-12-05 06:32:30.412051392,Damaged Product,8.0,Pending,1.077672686887111,1.9653084160117795,Neutral,Excellent,"Took way too long to get fixed, but the service was okay I guess.","Arrived in a damaged box, not happy. Seriously?"
115,6432,4220,2024-12-05 06:32:30.412051392,Late Delivery,27.0,Unresolved,9.753222968076349,5.294061490674119,Negative,Average,"I dunno, but the product just wasn't what I thought. Disappointed.",Package came way late. Not ordering from here again.
116,8284,7340,2024-12-05 06:32:30.412051392,Damaged Product,14.0,Resolved,6.510467623321247,7.64080703877192,Positive,Poor,"Took way too long to get fixed, but the service was okay I guess.","Arrived in a damaged box, not happy. Seriously?"
117,7365,4921,2024-12-05 06:32:30.412051392,Incorrect Product,28.0,Unresolved,6.756706321313817,1.60852245360366,Negative,Excellent,"Arrived in a damaged box, not happy. Seriously?",The color was different from the online pictures. Product's okay but that's a letdown.
118,1590,7542,2024-12-05 06:32:30.412051392,Damaged Product,1.0,Unresolved,6.478293608073032,5.342913247308915,Neutral,Poor,Got the wrong item... so frustrating! What a waste of time.,Customer service wasn't helpful. Not coming back.
119,7670,8194,2024-12-05 06:32:30.412051392,Late Delivery,26.0,Pending,6.973326396841756,2.068883103167029,Negative,Good,"I dunno, but the product just wasn't what I thought. Disappointed.",
120,1729,5198,2024-12-05 06:32:30.412051392,Packaging Issue,25.0,Resolved,1.712334465635435,3.44995595908799,Neutral,Good,Got the wrong item... so frustrating! What a waste of time.,"Took way too long to get fixed, but the service was okay I guess."
121,6898,2,2024-12-05 06:32:30.412051392,Incorrect Product,18.0,Pending,2.453557204138222,6.484616585091238,Positive,Good,Packaging was fine but the actual product had issues.,Got the wrong item... so frustrating! What a waste of time.
122,10244,9463,2024-12-05 06:32:30.412051392,Incorrect Product,9.0,Resolved,4.591566324291765,2.3647245500335368,Negative,Excellent,Package came way late. Not ordering from here again.,Customer service wasn't helpful. Not coming back.
123,6027,4469,2024-12-05 06:32:30.412051392,Quality Issue,8.0,Unresolved,9.065761543450064,,Neutral,Poor,Package came way late. Not ordering from here again.,"Resolution was fine, but the shipping took forever!"
124,8515,979,2024-12-05 06:32:30.412051392,Damaged Product,29.0,Pending,3.451943014452164,4.968615001570245,Neutral,Poor,"Resolution was fine, but the shipping took forever!",Package came way late. Not ordering from here again.
125,8523,5407,2024-12-05 06:32:30.412051392,Quality Issue,22.0,Pending,3.747787189255975,1.785255134034416,Positive,Average,Got the wrong item... so frustrating! What a waste of time.,"Honestly, the product wasn't great. Wouldn't recommend it."
126,3715,3572,2024-12-05 06:32:30.412051392,Packaging Issue,,Unresolved,9.762995619581647,4.516884396142789,Positive,Excellent,Got the wrong item... so frustrating! What a waste of time.,Got the wrong item... so frustrating! What a waste of time.
127,5496,3,2024-12-05 06:32:30.412051392,Quality Issue,18.0,Resolved,6.868682082808304,5.4701876105559535,Neutral,Excellent,Customer service wasn't helpful. Not coming back.,"Arrived in a damaged box, not happy. Seriously?"
128,9206,1771,2024-12-05 06:32:30.412051392,Quality Issue,22.0,Unresolved,9.42162276492846,7.675521836857973,Neutral,Good,"Honestly, the product wasn't great. Wouldn't recommend it.","Arrived in a damaged box, not happy. Seriously?"
129,4040,7143,2024-12-05 06:32:30.412051392,Incorrect Product,9.0,Resolved,8.780901943780192,7.203376631279511,Neutral,Excellent,"Arrived in a damaged box, not happy. Seriously?",Packaging was fine but the actual product had issues.
130,611,9034,2024-12-05 06:32:30.412051392,Incorrect Product,6.0,Pending,9.24080009972014,9.80168029170778,Negative,Average,Got the wrong item... so frustrating! What a waste of time.,The color was different from the online pictures. Product's okay but that's a letdown.
